"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Djibouti","2005","Female","Not applicable","Percent","32.38588"
"Djibouti","2005","All genders","Not applicable","Percent","35.10117"
"Djibouti","2005","Male","Not applicable","Percent","37.74712"
"Djibouti","2000","Female","Not applicable","Percent","18.0228"
"Djibouti","2000","Male","Not applicable","Percent","23.83782"
"Djibouti","2000","All genders","Not applicable","Percent","20.96657"
"Djibouti","1999","Female","Not applicable","Percent","17.47498"
"Djibouti","1999","All genders","Not applicable","Percent","20.33834"
"Djibouti","1999","Male","Not applicable","Percent","23.13181"
"Dominica","2014","All genders","Not applicable","Percent","67.55037"
"Dominica","2014","Male","Not applicable","Percent","72.08835"
"Dominica","2014","Female","Not applicable","Percent","62.83287"
"Dominica","2008","All genders","Not applicable","Percent","69.78861"
"Dominica","2008","Female","Not applicable","Percent","75.79143"
"Dominica","2008","Male","Not applicable","Percent","63.85654"
"Dominica","2007","All genders","Not applicable","Percent","75.43554"
"Dominica","2007","Male","Not applicable","Percent","76.65505"
"Dominica","2007","Female","Not applicable","Percent","74.21603"
"Dominica","2004","All genders","Not applicable","Percent","53.85839"
"Dominica","2004","Female","Not applicable","Percent","52.25806"
"Dominica","2004","Male","Not applicable","Percent","55.41601"
"Dominica","2003","All genders","Not applicable","Percent","58.31469"
"Dominica","2003","Male","Not applicable","Percent","58.01749"
"Dominica","2003","Female","Not applicable","Percent","58.62595"
"Dominica","2001","All genders","Not applicable","Percent","65.91684"
"Dominica","2001","Female","Not applicable","Percent","68.83853"
"Dominica","2001","Male","Not applicable","Percent","63.20631"
"Dominican Republic","2014","All genders","Not applicable","Percent","68.82386"
"Dominican Republic","2014","Female","Not applicable","Percent","69.71342"
"Dominican Republic","2014","Male","Not applicable","Percent","67.96754"
"Dominican Republic","2013","Female","Not applicable","Percent","67.15931"
"Dominican Republic","2013","Male","Not applicable","Percent","65.1038"
"Dominican Republic","2013","All genders","Not applicable","Percent","66.11213"
"Dominican Republic","2012","Female","Not applicable","Percent","67.2059"
"Dominican Republic","2012","All genders","Not applicable","Percent","66.72778"
"Dominican Republic","2012","Male","Not applicable","Percent","66.26731"
"Dominican Republic","2011","Female","Not applicable","Percent","61.7632"
"Dominican Republic","2011","Male","Not applicable","Percent","62.13502"
"Dominican Republic","2011","All genders","Not applicable","Percent","61.9526"
"Dominican Republic","2010","Female","Not applicable","Percent","60.13584"
"Dominican Republic","2010","All genders","Not applicable","Percent","61.78141"
"Dominican Republic","2010","Male","Not applicable","Percent","63.36726"
"Dominican Republic","2008","Female","Not applicable","Percent","55.80405"
"Dominican Republic","2008","All genders","Not applicable","Percent","57.11027"
"Dominican Republic","2008","Male","Not applicable","Percent","58.37053"
"Dominican Republic","2007","All genders","Not applicable","Percent","75.4076"
"Dominican Republic","2007","Male","Not applicable","Percent","76.14098"
"Dominican Republic","2007","Female","Not applicable","Percent","74.64758"
"Dominican Republic","2002","All genders","Not applicable","Percent","56.13717"
"Dominican Republic","2002","Female","Not applicable","Percent","53.8712"
"Dominican Republic","2002","Male","Not applicable","Percent","58.31892"
"Dominican Republic","2000","All genders","Not applicable","Percent","54.40228"
"Dominican Republic","2000","Male","Not applicable","Percent","54.11965"
"Dominican Republic","2000","Female","Not applicable","Percent","54.69548"
"Ecuador","2014","All genders","Not applicable","Percent","75.83209"
"Ecuador","2014","Male","Not applicable","Percent","75.08593"
"Ecuador","2014","Female","Not applicable","Percent","76.61143"
"Ecuador","2012","Male","Not applicable","Percent","74.58464"
"Ecuador","2012","Female","Not applicable","Percent","75.66742"
"Ecuador","2012","All genders","Not applicable","Percent","75.11469"
"Ecuador","2011","Male","Not applicable","Percent","74.2837"
"Ecuador","2011","All genders","Not applicable","Percent","75.03596"
"Ecuador","2011","Female","Not applicable","Percent","75.81982"
"Ecuador","2010","Male","Not applicable","Percent","71.96457"
"Ecuador","2010","Female","Not applicable","Percent","73.63632"
"Ecuador","2010","All genders","Not applicable","Percent","72.78352"
"Ecuador","2007","Male","Not applicable","Percent","85.719"
"Ecuador","2007","All genders","Not applicable","Percent","85.91653"
"Ecuador","2007","Female","Not applicable","Percent","86.12181"
"Ecuador","2006","Male","Not applicable","Percent","85.29897"
"Ecuador","2006","Female","Not applicable","Percent","85.54885"
"Ecuador","2006","All genders","Not applicable","Percent","85.42155"
"Ecuador","2005","Male","Not applicable","Percent","79.56043"
"Ecuador","2005","All genders","Not applicable","Percent","79.51327"
"Ecuador","2005","Female","Not applicable","Percent","79.4643"
"Ecuador","2004","Male","Not applicable","Percent","81.14118"
"Ecuador","2004","Female","Not applicable","Percent","81.45785"
"Ecuador","2004","All genders","Not applicable","Percent","81.29655"
"Ecuador","2003","Male","Not applicable","Percent","82.89136"
"Ecuador","2003","All genders","Not applicable","Percent","83.21633"
"Ecuador","2003","Female","Not applicable","Percent","83.55363"
"Ecuador","2002","Male","Not applicable","Percent","82.49969"
"Ecuador","2002","Female","Not applicable","Percent","83.31292"
"Ecuador","2002","All genders","Not applicable","Percent","82.89879"
"Ecuador","2001","Female","Not applicable","Percent","81.64201"
"Ecuador","2001","All genders","Not applicable","Percent","81.29674"
"Ecuador","2001","Male","Not applicable","Percent","80.96389"
"Ecuador","1999","Female","Not applicable","Percent","80.59231"
"Ecuador","1999","Male","Not applicable","Percent","79.46463"
"Ecuador","1999","All genders","Not applicable","Percent","80.01829"
"Ecuador","1998","Female","Not applicable","Percent","80.31466"
"Ecuador","1998","All genders","Not applicable","Percent","79.8382"
"Ecuador","1998","Male","Not applicable","Percent","79.37847"
"Egypt","2010","Female","Not applicable","Percent","87.20403"
"Egypt","2010","Male","Not applicable","Percent","87.46413"
"Egypt","2010","All genders","Not applicable","Percent","87.33799"
"Egypt","2009","Male","Not applicable","Percent","89.67473"
"Egypt","2009","All genders","Not applicable","Percent","89.40723"
"Egypt","2009","Female","Not applicable","Percent","89.12352"
"El Salvador","2014","Female","Not applicable","Percent","63.45084"
"El Salvador","2014","All genders","Not applicable","Percent","62.7953"
"El Salvador","2014","Male","Not applicable","Percent","62.16823"
"El Salvador","2013","Male","Not applicable","Percent","61.51395"
"El Salvador","2013","All genders","Not applicable","Percent","62.05796"
"El Salvador","2013","Female","Not applicable","Percent","62.6259"
"El Salvador","2012","Female","Not applicable","Percent","65.01284"
"El Salvador","2012","All genders","Not applicable","Percent","64.28154"
"El Salvador","2012","Male","Not applicable","Percent","63.58043"
"El Salvador","2011","Male","Not applicable","Percent","64.37838"
"El Salvador","2011","All genders","Not applicable","Percent","64.80187"
"El Salvador","2011","Female","Not applicable","Percent","65.24355"
"El Salvador","2010","Female","Not applicable","Percent","63.65642"
"El Salvador","2010","All genders","Not applicable","Percent","63.79033"
"El Salvador","2010","Male","Not applicable","Percent","63.91861"
"El Salvador","2009","Male","Not applicable","Percent","63.85053"
"El Salvador","2009","All genders","Not applicable","Percent","64.56743"
"El Salvador","2009","Female","Not applicable","Percent","65.31566"
"El Salvador","2008","Female","Not applicable","Percent","66.70288"
"El Salvador","2008","All genders","Not applicable","Percent","66.05518"
"El Salvador","2008","Male","Not applicable","Percent","65.43441"
"El Salvador","2007","Male","Not applicable","Percent","64.62227"
"El Salvador","2007","All genders","Not applicable","Percent","65.49332"
"El Salvador","2007","Female","Not applicable","Percent","66.40195"
"El Salvador","2006","Female","Not applicable","Percent","66.79197"
"El Salvador","2006","All genders","Not applicable","Percent","66.29077"
"El Salvador","2006","Male","Not applicable","Percent","65.81031"
"El Salvador","2005","Male","Not applicable","Percent","66.71912"
"El Salvador","2005","All genders","Not applicable","Percent","67.06505"
"El Salvador","2005","Female","Not applicable","Percent","67.42592"
"El Salvador","2001","Female","Not applicable","Percent","61.398"
"El Salvador","2001","All genders","Not applicable","Percent","61.39707"
"El Salvador","2001","Male","Not applicable","Percent","61.39618"
"Equatorial Guinea","2012","Male","Not applicable","Percent","28.45312"
"Equatorial Guinea","2012","Female","Not applicable","Percent","26.74551"
"Equatorial Guinea","2012","All genders","Not applicable","Percent","27.60556"
"Equatorial Guinea","2011","Female","Not applicable","Percent","27.96719"
"Equatorial Guinea","2011","All genders","Not applicable","Percent","29.48053"
"Equatorial Guinea","2011","Male","Not applicable","Percent","30.97289"
"Equatorial Guinea","2010","Female","Not applicable","Percent","26.85397"
"Equatorial Guinea","2010","Male","Not applicable","Percent","26.42604"
"Equatorial Guinea","2010","All genders","Not applicable","Percent","26.63855"
"Equatorial Guinea","2009","Male","Not applicable","Percent","24.73921"
"Equatorial Guinea","2009","All genders","Not applicable","Percent","24.24695"
"Equatorial Guinea","2009","Female","Not applicable","Percent","23.74805"
"Equatorial Guinea","2008","Male","Not applicable","Percent","28.99641"
"Equatorial Guinea","2008","Female","Not applicable","Percent","28.16053"
"Equatorial Guinea","2008","All genders","Not applicable","Percent","28.58111"
"Eritrea","2013","Male","Not applicable","Percent","22.2332"
"Eritrea","2013","All genders","Not applicable","Percent","21.74607"
"Eritrea","2013","Female","Not applicable","Percent","21.23751"
"Eritrea","2012","Male","Not applicable","Percent","21.89569"
"Eritrea","2012","Female","Not applicable","Percent","18.89913"
"Eritrea","2012","All genders","Not applicable","Percent","20.42881"
"Eritrea","2011","Male","Not applicable","Percent","23.73865"
"Eritrea","2011","All genders","Not applicable","Percent","22.06419"
"Eritrea","2011","Female","Not applicable","Percent","20.31893"
"Eritrea","2010","Male","Not applicable","Percent","18.835"
"Eritrea","2010","Female","Not applicable","Percent","17.14539"
"Eritrea","2010","All genders","Not applicable","Percent","18.00748"
"Eritrea","2009","Male","Not applicable","Percent","18.37328"
"Eritrea","2009","All genders","Not applicable","Percent","17.34481"
"Eritrea","2009","Female","Not applicable","Percent","16.27407"
"Eritrea","2008","Male","Not applicable","Percent","18.7803"
"Eritrea","2008","Female","Not applicable","Percent","16.36373"
"Eritrea","2008","All genders","Not applicable","Percent","17.59587"
"Eritrea","2006","Male","Not applicable","Percent","25.30218"
"Eritrea","2006","All genders","Not applicable","Percent","24.42841"
"Eritrea","2006","Female","Not applicable","Percent","23.52208"
"Eritrea","2005","Male","Not applicable","Percent","28.76949"
"Eritrea","2005","Female","Not applicable","Percent","26.40164"
"Eritrea","2005","All genders","Not applicable","Percent","27.60616"
"Eritrea","2004","Female","Not applicable","Percent","25.92796"
"Eritrea","2004","All genders","Not applicable","Percent","27.60481"
"Eritrea","2004","Male","Not applicable","Percent","29.22758"
"Eritrea","2003","Female","Not applicable","Percent","28.50031"
"Eritrea","2003","Male","Not applicable","Percent","31.61089"
"Eritrea","2003","All genders","Not applicable","Percent","30.07936"
"Eritrea","2002","Female","Not applicable","Percent","26.54136"
"Eritrea","2002","All genders","Not applicable","Percent","28.64009"
"Eritrea","2002","Male","Not applicable","Percent","30.67992"
"Eritrea","2001","Female","Not applicable","Percent","25.2732"
"Eritrea","2001","Male","Not applicable","Percent","28.10081"
"Eritrea","2001","All genders","Not applicable","Percent","26.70573"
"Eritrea","2000","Female","Not applicable","Percent","17.90828"
"Eritrea","2000","All genders","Not applicable","Percent","19.23503"
"Eritrea","2000","Male","Not applicable","Percent","20.52936"
"Eritrea","1999","Male","Not applicable","Percent","17.53509"
"Eritrea","1999","All genders","Not applicable","Percent","16.74405"
"Eritrea","1999","Female","Not applicable","Percent","15.93456"
"Estonia","2014","All genders","Not applicable","Percent","75.34143"
"Estonia","2014","Female","Not applicable","Percent","76.69226"
"Estonia","2014","Male","Not applicable","Percent","74.06911"
"Estonia","2013","Female","Not applicable","Percent","78.21006"
"Estonia","2013","Male","Not applicable","Percent","84.89853"
"Estonia","2013","All genders","Not applicable","Percent","81.64689"
"Ethiopia","2011","Female","Not applicable","Percent","74.68106"
"Ethiopia","2011","Male","Not applicable","Percent","80.0518"
"Ethiopia","2011","All genders","Not applicable","Percent","77.39439"
"Ethiopia","2010","Male","Not applicable","Percent","62.67731"
"Ethiopia","2010","All genders","Not applicable","Percent","60.88503"
"Ethiopia","2010","Female","Not applicable","Percent","59.05369"
"Ethiopia","2009","Male","Not applicable","Percent","65.64586"
"Ethiopia","2009","Female","Not applicable","Percent","61.82038"
"Ethiopia","2009","All genders","Not applicable","Percent","63.7544"
"Ethiopia","2008","Male","Not applicable","Percent","71.71008"
"Ethiopia","2008","All genders","Not applicable","Percent","69.58046"
"Ethiopia","2008","Female","Not applicable","Percent","67.40211"
"Ethiopia","2007","Male","Not applicable","Percent","57.74459"
"Ethiopia","2007","Female","Not applicable","Percent","55.13968"
"Ethiopia","2007","All genders","Not applicable","Percent","56.45675"
"Ethiopia","2004","Male","Not applicable","Percent","31.71724"
"Ethiopia","2004","All genders","Not applicable","Percent","30.67586"
"Ethiopia","2004","Female","Not applicable","Percent","29.61453"
"Ethiopia","1999","Male","Not applicable","Percent","23.53165"
"Ethiopia","1999","Female","Not applicable","Percent","19.10773"
"Ethiopia","1999","All genders","Not applicable","Percent","21.33935"
"Fiji","2011","Male","Not applicable","Percent","76.17783"
"Fiji","2011","Female","Not applicable","Percent","77.39454"
"Fiji","2011","All genders","Not applicable","Percent","76.76435"
"Fiji","2008","Male","Not applicable","Percent","74.73882"
"Fiji","2008","All genders","Not applicable","Percent","73.88899"
"Fiji","2008","Female","Not applicable","Percent","72.97604"
"Fiji","2004","Male","Not applicable","Percent","74.7086"
"Fiji","2004","All genders","Not applicable","Percent","74.94195"
"Fiji","2004","Female","Not applicable","Percent","75.19194"
"Fiji","2001","All genders","Not applicable","Percent","74.63299"
"Fiji","2001","Female","Not applicable","Percent","72.55965"
"Fiji","2001","Male","Not applicable","Percent","76.58661"
"Fiji","2000","Female","Not applicable","Percent","69.22347"
"Fiji","2000","Male","Not applicable","Percent","72.5231"
"Fiji","2000","All genders","Not applicable","Percent","70.92155"
"Fiji","1999","Female","Not applicable","Percent","73.33333"
"Fiji","1999","All genders","Not applicable","Percent","72.64447"
"Fiji","1999","Male","Not applicable","Percent","71.9944"
"Fiji","1998","Female","Not applicable","Percent","74.26051"
"Fiji","1998","Male","Not applicable","Percent","75.65429"
"Fiji","1998","All genders","Not applicable","Percent","74.97781"
"Gambia","2013","Male","Not applicable","Percent","42.07083"
"Gambia","2013","Female","Not applicable","Percent","44.99835"
"Gambia","2013","All genders","Not applicable","Percent","43.52316"
"Gambia","2007","Male","Not applicable","Percent","49.17001"
"Gambia","2007","All genders","Not applicable","Percent","51.24349"
"Gambia","2007","Female","Not applicable","Percent","53.36061"
"Gambia","2006","Male","Not applicable","Percent","51.96724"
"Gambia","2006","Female","Not applicable","Percent","55.71849"
"Gambia","2006","All genders","Not applicable","Percent","53.82358"
"Gambia","2005","Male","Not applicable","Percent","52.83921"
"Gambia","2005","All genders","Not applicable","Percent","53.43933"
"Gambia","2005","Female","Not applicable","Percent","54.05118"
"Gambia","1998","Male","Not applicable","Percent","41.09581"
"Gambia","1998","Female","Not applicable","Percent","37.37811"
"Gambia","1998","All genders","Not applicable","Percent","39.24581"
"Georgia","2014","Female","Not applicable","Percent","82.24057"
"Georgia","2014","Male","Not applicable","Percent","79.75024"
"Georgia","2014","All genders","Not applicable","Percent","80.91241"
"Georgia","2013","Female","Not applicable","Percent","78.94813"
"Georgia","2013","All genders","Not applicable","Percent","78.34944"
"Georgia","2013","Male","Not applicable","Percent","77.82806"
"Georgia","2012","Female","Not applicable","Percent","89.98513"
"Georgia","2012","Male","Not applicable","Percent","89.0006"
"Georgia","2012","All genders","Not applicable","Percent","89.45813"
"Georgia","2011","Female","Not applicable","Percent","97.65796"
"Georgia","2011","All genders","Not applicable","Percent","96.76542"
"Georgia","2011","Male","Not applicable","Percent","95.99152"
"Georgia","2009","All genders","Not applicable","Percent","92.34559"
"Georgia","2008","Female","Not applicable","Percent","98.95699"
"Georgia","2008","All genders","Not applicable","Percent","96.4561"
"Georgia","2008","Male","Not applicable","Percent","94.32579"
"Ghana","2009","All genders","Not applicable","Percent","38.55362"
"Ghana","2009","Male","Not applicable","Percent","38.01864"
"Ghana","2009","Female","Not applicable","Percent","39.1097"
"Ghana","2008","All genders","Not applicable","Percent","39.86158"
"Ghana","2008","Female","Not applicable","Percent","40.69336"
"Ghana","2008","Male","Not applicable","Percent","39.06133"
"Ghana","2007","Male","Not applicable","Percent","36.8527"
"Ghana","2007","Female","Not applicable","Percent","38.18491"
"Ghana","2007","All genders","Not applicable","Percent","37.50578"
"Ghana","2006","All genders","Not applicable","Percent","36.2493"
"Ghana","2006","Female","Not applicable","Percent","37.18782"
"Ghana","2006","Male","Not applicable","Percent","35.34753"
"Ghana","2005","Male","Not applicable","Percent","29.33914"
"Ghana","2005","Female","Not applicable","Percent","30.20336"
"Ghana","2005","All genders","Not applicable","Percent","29.76214"
"Ghana","2003","Female","Not applicable","Percent","24.44616"
"Ghana","2003","All genders","Not applicable","Percent","24.16515"
"Ghana","2003","Male","Not applicable","Percent","23.89622"
"Ghana","1999","Female","Not applicable","Percent","30.82262"
"Ghana","1999","Male","Not applicable","Percent","30.81398"
"Ghana","1999","All genders","Not applicable","Percent","30.81821"
"Greece","2014","Female","Not applicable","Percent","94.57148"
"Greece","2014","Male","Not applicable","Percent","94.7217"
"Greece","2014","All genders","Not applicable","Percent","94.64842"
"Greece","2013","Male","Not applicable","Percent","0"
"Greece","2013","All genders","Not applicable","Percent","0"
"Greece","2013","Female","Not applicable","Percent","0"
"Greece","2004","Male","Not applicable","Percent","96.73723"
"Greece","2004","Female","Not applicable","Percent","95.70862"
"Greece","2004","All genders","Not applicable","Percent","96.23374"
"Greece","2003","Male","Not applicable","Percent","95.50227"
"Greece","2003","All genders","Not applicable","Percent","95.82114"
"Greece","2003","Female","Not applicable","Percent","96.15561"
"Greece","2002","Male","Not applicable","Percent","97.49495"
"Greece","2002","Female","Not applicable","Percent","90.38521"
"Greece","2002","All genders","Not applicable","Percent","94.03615"
"Greece","2001","Male","Not applicable","Percent","97.53567"
"Greece","2001","All genders","Not applicable","Percent","97.05001"
"Greece","2001","Female","Not applicable","Percent","96.53401"
"Greece","2000","All genders","Not applicable","Percent","95.06873"
"Greece","2000","Female","Not applicable","Percent","95.37098"
"Greece","2000","Male","Not applicable","Percent","94.78461"
"Greece","1999","Female","Not applicable","Percent","95.77516"
"Greece","1999","Male","Not applicable","Percent","96.73721"
"Greece","1999","All genders","Not applicable","Percent","96.27084"
"Greece","1998","Female","Not applicable","Percent","88.20387"
"Greece","1998","All genders","Not applicable","Percent","88.54783"
"Greece","1998","Male","Not applicable","Percent","88.87193"
"Grenada","2009","Male","Not applicable","Percent","83.15055"
"Grenada","2009","Female","Not applicable","Percent","83.02434"
"Grenada","2009","All genders","Not applicable","Percent","83.08915"
"Grenada","2008","Male","Not applicable","Percent","79.79058"
"Grenada","2008","All genders","Not applicable","Percent","78.24919"
"Grenada","2008","Female","Not applicable","Percent","76.62624"
"Grenada","2007","Male","Not applicable","Percent","79.69388"
"Grenada","2007","Female","Not applicable","Percent","76.58432"
"Grenada","2007","All genders","Not applicable","Percent","78.17896"
"Grenada","1999","Male","Not applicable","Percent","66.02021"
"Grenada","1999","All genders","Not applicable","Percent","66.45266"
"Grenada","1999","Female","Not applicable","Percent","66.89362"
"Guatemala","2014","Female","Not applicable","Percent","59.71457"
"Guatemala","2014","Male","Not applicable","Percent","60.6882"
"Guatemala","2014","All genders","Not applicable","Percent","60.21025"
"Guatemala","2013","Male","Not applicable","Percent","57.48348"
"Guatemala","2013","All genders","Not applicable","Percent","57.0278"
"Guatemala","2013","Female","Not applicable","Percent","56.55543"
"Guatemala","2012","Male","Not applicable","Percent","55.50616"
"Guatemala","2012","Female","Not applicable","Percent","54.46633"
"Guatemala","2012","All genders","Not applicable","Percent","54.99544"
"Guatemala","2011","Male","Not applicable","Percent","56.68951"
"Guatemala","2011","All genders","Not applicable","Percent","56.53444"
"Guatemala","2011","Female","Not applicable","Percent","56.37391"
"Guatemala","2010","Male","Not applicable","Percent","66.66565"
"Guatemala","2010","Female","Not applicable","Percent","66.27441"
"Guatemala","2010","All genders","Not applicable","Percent","66.47333"
"Guatemala","2009","Male","Not applicable","Percent","73.14888"
"Guatemala","2009","All genders","Not applicable","Percent","72.69433"
"Guatemala","2009","Female","Not applicable","Percent","72.2242"
"Guatemala","2008","Male","Not applicable","Percent","72.91803"
"Guatemala","2008","Female","Not applicable","Percent","71.76339"
"Guatemala","2008","All genders","Not applicable","Percent","72.34973"
"Guatemala","2007","All genders","Not applicable","Percent","72.8279"
"Guatemala","2007","Female","Not applicable","Percent","72.22023"
"Guatemala","2007","Male","Not applicable","Percent","73.41766"
"Guatemala","2006","Male","Not applicable","Percent","71.65069"
"Guatemala","2006","Female","Not applicable","Percent","69.80937"
"Guatemala","2006","All genders","Not applicable","Percent","70.74334"
"Guatemala","2005","All genders","Not applicable","Percent","68.07237"
"Guatemala","2005","Female","Not applicable","Percent","67.21098"
"Guatemala","2005","Male","Not applicable","Percent","68.90963"
"Guatemala","2004","All genders","Not applicable","Percent","67.74502"
"Guatemala","2004","Male","Not applicable","Percent","68.69175"
"Guatemala","2004","Female","Not applicable","Percent","66.77148"
"Guatemala","2002","All genders","Not applicable","Percent","61.8984"
"Guatemala","2002","Female","Not applicable","Percent","61.11606"
"Guatemala","2002","Male","Not applicable","Percent","62.65963"
"Guatemala","2001","All genders","Not applicable","Percent","60.60535"
"Guatemala","2001","Male","Not applicable","Percent","62.01835"
"Guatemala","2001","Female","Not applicable","Percent","59.15325"
"Guatemala","2000","Male","Not applicable","Percent","61.76331"
"Guatemala","2000","Female","Not applicable","Percent","58.10338"
"Guatemala","2000","All genders","Not applicable","Percent","59.95837"
"Guatemala","1999","Male","Not applicable","Percent","57.81177"
"Guatemala","1999","All genders","Not applicable","Percent","55.75473"
"Guatemala","1999","Female","Not applicable","Percent","53.64219"
"Guinea","2014","Female","Not applicable","Percent","43.84088"
"Guinea","2014","Male","Not applicable","Percent","50.80974"
"Guinea","2014","All genders","Not applicable","Percent","47.34996"
"Guinea","2012","Male","Not applicable","Percent","51.55581"
"Guinea","2012","All genders","Not applicable","Percent","48.38252"
"Guinea","2012","Female","Not applicable","Percent","45.1548"
"Guinea","2009","Male","Not applicable","Percent","45.1838"
"Guinea","2009","Female","Not applicable","Percent","41.11784"
"Guinea","2009","All genders","Not applicable","Percent","43.16754"
"Guinea","2008","Male","Not applicable","Percent","41.02731"
"Guinea","2008","All genders","Not applicable","Percent","39.09359"
"Guinea","2008","Female","Not applicable","Percent","37.12774"
"Guinea","2007","Male","Not applicable","Percent","39.83011"
"Guinea","2007","Female","Not applicable","Percent","36.99718"
"Guinea","2007","All genders","Not applicable","Percent","38.42529"
"Guinea","2006","Male","Not applicable","Percent","37.3664"
"Guinea","2006","Female","Not applicable","Percent","35.8416"
"Guinea","2006","All genders","Not applicable","Percent","36.61019"
"Guinea","2005","Female","Not applicable","Percent","33.28803"
"Guinea","2005","All genders","Not applicable","Percent","34.7044"
"Guinea","2005","Male","Not applicable","Percent","36.09858"
"Guinea","2004","Female","Not applicable","Percent","32.64992"
"Guinea","2004","Male","Not applicable","Percent","35.31309"
"Guinea","2004","All genders","Not applicable","Percent","33.99156"
"Guinea","2003","Female","Not applicable","Percent","29.9755"
"Guinea","2003","All genders","Not applicable","Percent","31.33165"
"Guinea","2003","Male","Not applicable","Percent","32.66865"
"Guinea","2002","Female","Not applicable","Percent","23.4719"
"Guinea","2002","Male","Not applicable","Percent","26.43366"
"Guinea","2002","All genders","Not applicable","Percent","24.96255"
"Guinea","2000","Female","Not applicable","Percent","21.01792"
"Guinea","2000","All genders","Not applicable","Percent","21.85722"
"Guinea","2000","Male","Not applicable","Percent","22.68745"
"Guinea","1999","All genders","Not applicable","Percent","18.34551"
"Guinea","1999","Male","Not applicable","Percent","19.84778"
"Guinea","1999","Female","Not applicable","Percent","16.82864"
"Guinea-Bissau","2010","Male","Not applicable","Percent","39.57843"
"Guinea-Bissau","2010","Female","Not applicable","Percent","37.6081"
"Guinea-Bissau","2010","All genders","Not applicable","Percent","38.59193"
"Guyana","2012","Male","Not applicable","Percent","62.23113"
"Guyana","2012","All genders","Not applicable","Percent","61.04718"
"Guyana","2012","Female","Not applicable","Percent","59.85847"
"Guyana","2011","Male","Not applicable","Percent","61.77212"
"Guyana","2011","Female","Not applicable","Percent","60.2451"
"Guyana","2011","All genders","Not applicable","Percent","61.00831"
"Guyana","2007","Male","Not applicable","Percent","53.82701"
"Guyana","2007","All genders","Not applicable","Percent","54.07438"
"Guyana","2007","Female","Not applicable","Percent","54.3397"
"Holy See","2015","Male","Not applicable","Percent","0"
"Holy See","2015","Female","Not applicable","Percent","0"
"Holy See","2015","All genders","Not applicable","Percent","0"
"Holy See","2014","Female","Not applicable","Percent","0"
"Holy See","2014","All genders","Not applicable","Percent","0"
"Holy See","2014","Male","Not applicable","Percent","0"
"Holy See","2013","Female","Not applicable","Percent","0"
"Holy See","2013","Male","Not applicable","Percent","0"
"Holy See","2013","All genders","Not applicable","Percent","0"
"Holy See","2012","Female","Not applicable","Percent","0"
"Holy See","2012","All genders","Not applicable","Percent","0"
"Holy See","2012","Male","Not applicable","Percent","0"
"Holy See","2011","Female","Not applicable","Percent","0"
"Holy See","2011","Male","Not applicable","Percent","0"
"Holy See","2011","All genders","Not applicable","Percent","0"
"Holy See","2010","Female","Not applicable","Percent","0"
"Holy See","2010","All genders","Not applicable","Percent","0"
"Holy See","2010","Male","Not applicable","Percent","0"
"Holy See","2009","Female","Not applicable","Percent","0"
"Holy See","2009","Male","Not applicable","Percent","0"
"Holy See","2009","All genders","Not applicable","Percent","0"
"Holy See","2008","All genders","Not applicable","Percent","0"
"Holy See","2008","Female","Not applicable","Percent","0"
"Holy See","2008","Male","Not applicable","Percent","0"
"Holy See","2007","Male","Not applicable","Percent","0"
"Holy See","2007","Female","Not applicable","Percent","0"
"Holy See","2007","All genders","Not applicable","Percent","0"
"Holy See","2006","All genders","Not applicable","Percent","0"
"Holy See","2006","Female","Not applicable","Percent","0"
"Holy See","2006","Male","Not applicable","Percent","0"
"Holy See","2005","Male","Not applicable","Percent","0"
"Holy See","2005","Female","Not applicable","Percent","0"
"Holy See","2005","All genders","Not applicable","Percent","0"
"Holy See","2004","Male","Not applicable","Percent","0"
"Holy See","2004","All genders","Not applicable","Percent","0"
"Holy See","2004","Female","Not applicable","Percent","0"
"Holy See","2003","Male","Not applicable","Percent","0"
"Holy See","2003","Female","Not applicable","Percent","0"
"Holy See","2003","All genders","Not applicable","Percent","0"
"Holy See","2002","Male","Not applicable","Percent","0"
"Holy See","2002","All genders","Not applicable","Percent","0"
"Holy See","2002","Female","Not applicable","Percent","0"
"Holy See","2001","Male","Not applicable","Percent","0"
"Holy See","2001","Female","Not applicable","Percent","0"
"Holy See","2001","All genders","Not applicable","Percent","0"
"Holy See","2000","Male","Not applicable","Percent","0"
"Holy See","2000","All genders","Not applicable","Percent","0"
"Holy See","2000","Female","Not applicable","Percent","0"
"Holy See","1999","Male","Not applicable","Percent","0"
"Holy See","1999","Female","Not applicable","Percent","0"
"Holy See","1999","All genders","Not applicable","Percent","0"
"Holy See","1998","Male","Not applicable","Percent","0"
"Holy See","1998","All genders","Not applicable","Percent","0"
"Holy See","1998","Female","Not applicable","Percent","0"
"Holy See","1997","Male","Not applicable","Percent","0"
"Holy See","1997","Female","Not applicable","Percent","0"
"Holy See","1997","All genders","Not applicable","Percent","0"
"Holy See","1996","Male","Not applicable","Percent","0"
"Holy See","1996","All genders","Not applicable","Percent","0"
"Holy See","1996","Female","Not applicable","Percent","0"
"Holy See","1995","Male","Not applicable","Percent","0"
"Holy See","1995","Female","Not applicable","Percent","0"
"Holy See","1995","All genders","Not applicable","Percent","0"
"Holy See","1994","Male","Not applicable","Percent","0"
"Holy See","1994","All genders","Not applicable","Percent","0"
"Holy See","1994","Female","Not applicable","Percent","0"
