"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Sub-Saharan Africa","Lesotho","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","28.50","SOURCE: MICS 2018"
"SDG: Landlocked Developing Countries","Lesotho","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","26.60","SOURCE: MICS 2018"
"SDG: Least Developed Countries","Lesotho","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","26.60","SOURCE: MICS 2018"
"SDG: Sub-Saharan Africa","Lesotho","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","26.60","SOURCE: MICS 2018"
"SDG: Northern Africa","Morocco","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","36.10","SOURCE: ENSPF 2018"
"SDG: Northern Africa and Western Asia","Morocco","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","36.10","SOURCE: ENSPF 2018"
"SDG: Northern Africa","Morocco","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","36.30","SOURCE: ENSPF 2018"
"SDG: Northern Africa and Western Asia","Morocco","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","36.30","SOURCE: ENSPF 2018"
"SDG: Europe","Republic of Moldova","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","86.20","SOURCE: MICS 2012"
"SDG: Europe and Northern America","Republic of Moldova","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","86.20","SOURCE: MICS 2012"
"SDG: Europe, Northern America, Australia and New Zealand","Republic of Moldova","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","86.20","SOURCE: MICS 2012"
"SDG: Landlocked Developing Countries","Republic of Moldova","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","86.20","SOURCE: MICS 2012"
"SDG: Europe","Republic of Moldova","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","92.40","SOURCE: MICS 2012"
"SDG: Europe and Northern America","Republic of Moldova","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","92.40","SOURCE: MICS 2012"
"SDG: Europe, Northern America, Australia and New Zealand","Republic of Moldova","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","92.40","SOURCE: MICS 2012"
"SDG: Landlocked Developing Countries","Republic of Moldova","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","92.40","SOURCE: MICS 2012"
"SDG: Central and Southern Asia","Maldives","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","97.30","SOURCE: DHS 2016-2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Small Island Developing States","Maldives","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","97.30","SOURCE: DHS 2016-2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Southern Asia","Maldives","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","97.30","SOURCE: DHS 2016-2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Central and Southern Asia","Maldives","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","95.60","SOURCE: DHS 2016-2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Small Island Developing States","Maldives","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","95.60","SOURCE: DHS 2016-2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Southern Asia","Maldives","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","95.60","SOURCE: DHS 2016-2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Latin America and the Caribbean","Mexico","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2019","70.80","SOURCE: ENSANUT 2018-2019"
"SDG: Latin America and the Caribbean","Mexico","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2019","70.70","SOURCE: ENSANUT 2018-2019"
"SDG: Oceania","Marshall Islands","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","71.80","SOURCE: Integrated Child Health and Nutrition Survey (ICHNS) 2019"
"SDG: Oceania (excluding Australia and New Zealand)","Marshall Islands","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","71.80","SOURCE: Integrated Child Health and Nutrition Survey (ICHNS) 2019"
"SDG: Small Island Developing States","Marshall Islands","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","71.80","SOURCE: Integrated Child Health and Nutrition Survey (ICHNS) 2019"
"SDG: Oceania","Marshall Islands","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","72.70","SOURCE: Integrated Child Health and Nutrition Survey (ICHNS) 2018"
"SDG: Oceania (excluding Australia and New Zealand)","Marshall Islands","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","72.70","SOURCE: Integrated Child Health and Nutrition Survey (ICHNS) 2018"
"SDG: Small Island Developing States","Marshall Islands","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","72.70","SOURCE: Integrated Child Health and Nutrition Survey (ICHNS) 2018"
"SDG: Landlocked Developing Countries","Mali","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2015","54.50","SOURCE: MICS 2015"
"SDG: Least Developed Countries","Mali","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2015","54.50","SOURCE: MICS 2015"
"SDG: Sub-Saharan Africa","Mali","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2015","54.50","SOURCE: MICS 2015"
"SDG: Landlocked Developing Countries","Mali","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2015","54.70","SOURCE: MICS 2015"
"SDG: Least Developed Countries","Mali","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2015","54.70","SOURCE: MICS 2015"
"SDG: Sub-Saharan Africa","Mali","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2015","54.70","SOURCE: MICS 2015"
"SDG: Eastern and South-Eastern Asia","Myanmar","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","52.90","SOURCE: DHS 2015-2016. Based on the oldest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Myanmar","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","52.90","SOURCE: DHS 2015-2016. Based on the oldest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: South-Eastern Asia","Myanmar","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","52.90","SOURCE: DHS 2015-2016. Based on the oldest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Eastern and South-Eastern Asia","Myanmar","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","51.10","SOURCE: DHS 2015-2016. Based on the oldest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Myanmar","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","51.10","SOURCE: DHS 2015-2016. Based on the oldest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: South-Eastern Asia","Myanmar","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","51.10","SOURCE: DHS 2015-2016. Based on the oldest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Europe","Montenegro","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","90.60","SOURCE: MICS 2018"
"SDG: Europe and Northern America","Montenegro","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","90.60","SOURCE: MICS 2018"
"SDG: Europe, Northern America, Australia and New Zealand","Montenegro","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","90.60","SOURCE: MICS 2018"
"SDG: Europe","Montenegro","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","90.70","SOURCE: MICS 2018"
"SDG: Europe and Northern America","Montenegro","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","90.70","SOURCE: MICS 2018"
"SDG: Europe, Northern America, Australia and New Zealand","Montenegro","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","90.70","SOURCE: MICS 2018"
"SDG: Eastern and South-Eastern Asia","Mongolia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","56.70","SOURCE: MICS 2018"
"SDG: Eastern Asia","Mongolia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","56.70","SOURCE: MICS 2018"
"SDG: Landlocked Developing Countries","Mongolia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","56.70","SOURCE: MICS 2018"
"SDG: Eastern and South-Eastern Asia","Mongolia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","58.50","SOURCE: MICS 2018"
"SDG: Eastern Asia","Mongolia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","58.50","SOURCE: MICS 2018"
"SDG: Landlocked Developing Countries","Mongolia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","58.50","SOURCE: MICS 2018"
"SDG: Least Developed Countries","Mauritania","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2015","45.80","SOURCE: MICS 2015"
"SDG: Sub-Saharan Africa","Mauritania","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2015","45.80","SOURCE: MICS 2015"
"SDG: Least Developed Countries","Mauritania","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2015","42.00","SOURCE: MICS 2015"
"SDG: Sub-Saharan Africa","Mauritania","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2015","42.00","SOURCE: MICS 2015"
"SDG: Landlocked Developing Countries","Malawi","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","30.10","SOURCE: MICS 2013-2014"
"SDG: Least Developed Countries","Malawi","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","30.10","SOURCE: MICS 2013-2014"
"SDG: Sub-Saharan Africa","Malawi","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","30.10","SOURCE: MICS 2013-2014"
"SDG: Landlocked Developing Countries","Malawi","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","28.60","SOURCE: MICS 2013-2014"
"SDG: Least Developed Countries","Malawi","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","28.60","SOURCE: MICS 2013-2014"
"SDG: Sub-Saharan Africa","Malawi","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","28.60","SOURCE: MICS 2013-2014"
"SDG: Eastern and South-Eastern Asia","Malaysia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","24.20","SOURCE: National Health and Morbidity Survey 2017"
"SDG: South-Eastern Asia","Malaysia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","24.20","SOURCE: National Health and Morbidity Survey 2017"
"SDG: Eastern and South-Eastern Asia","Malaysia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","24.90","SOURCE: National Health and Morbidity Survey 2018"
"SDG: South-Eastern Asia","Malaysia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","24.90","SOURCE: National Health and Morbidity Survey 2018"
"SDG: Sub-Saharan Africa","Nigeria","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","63.10","SOURCE: MICS 2016-2017"
"SDG: Sub-Saharan Africa","Nigeria","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","62.40","SOURCE: MICS 2016-2017"
"SDG: Central and Southern Asia","Nepal","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","70.10","SOURCE: MICS 2014"
"SDG: Landlocked Developing Countries","Nepal","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","70.10","SOURCE: MICS 2014"
"SDG: Least Developed Countries","Nepal","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","70.10","SOURCE: MICS 2014"
"SDG: Southern Asia","Nepal","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","70.10","SOURCE: MICS 2014"
"SDG: Central and Southern Asia","Nepal","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","64.10","SOURCE: MICS 2014"
"SDG: Landlocked Developing Countries","Nepal","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","64.10","SOURCE: MICS 2014"
"SDG: Least Developed Countries","Nepal","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","64.10","SOURCE: MICS 2014"
"SDG: Southern Asia","Nepal","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","64.10","SOURCE: MICS 2014"
"SDG: Northern Africa and Western Asia","Oman","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","83.80","SOURCE: MICS 2014"
"SDG: Western Asia","Oman","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","83.80","SOURCE: MICS 2014"
"SDG: Northern Africa and Western Asia","Oman","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","77.80","SOURCE: MICS 2014"
"SDG: Western Asia","Oman","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","77.80","SOURCE: MICS 2014"
"SDG: Latin America and the Caribbean","Panama","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2013","73.90","SOURCE: MICS 2013"
"SDG: Latin America and the Caribbean","Panama","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2013","73.20","SOURCE: MICS 2013"
"SDG: Eastern and South-Eastern Asia","Democratic People's Republic of Korea","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","94.40","SOURCE: MICS 2017. Refers to children aged 24-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Eastern Asia","Democratic People's Republic of Korea","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","94.40","SOURCE: MICS 2017. Refers to children aged 24-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Eastern and South-Eastern Asia","Democratic People's Republic of Korea","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","95.20","SOURCE: MICS 2017. Refers to children aged 24-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Eastern Asia","Democratic People's Republic of Korea","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","95.20","SOURCE: MICS 2017. Refers to children aged 24-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Landlocked Developing Countries","Paraguay","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","62.40","SOURCE: MICS 2016"
"SDG: Latin America and the Caribbean","Paraguay","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","62.40","SOURCE: MICS 2016"
"SDG: Landlocked Developing Countries","Paraguay","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","65.10","SOURCE: MICS 2016"
"SDG: Latin America and the Caribbean","Paraguay","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","65.10","SOURCE: MICS 2016"
"SDG: Northern Africa and Western Asia","Palestine","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","77.40","SOURCE: MICS 2014"
"SDG: Western Asia","Palestine","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","77.40","SOURCE: MICS 2014"
"SDG: Northern Africa and Western Asia","Palestine","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","77.60","SOURCE: MICS 2014"
"SDG: Western Asia","Palestine","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","77.60","SOURCE: MICS 2014"
"SDG: Northern Africa and Western Asia","Qatar","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","88.60","SOURCE: MICS 2012"
"SDG: Western Asia","Qatar","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","88.60","SOURCE: MICS 2012"
"SDG: Northern Africa and Western Asia","Qatar","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","88.30","SOURCE: MICS 2012"
"SDG: Western Asia","Qatar","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","88.30","SOURCE: MICS 2012"
"SDG: Landlocked Developing Countries","Rwanda","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2015","44.60","SOURCE: DHS 2014-2015. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Rwanda","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2015","44.60","SOURCE: DHS 2014-2015. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Sub-Saharan Africa","Rwanda","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2015","44.60","SOURCE: DHS 2014-2015. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Landlocked Developing Countries","Rwanda","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2015","43.40","SOURCE: DHS 2014-2015. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Rwanda","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2015","43.40","SOURCE: DHS 2014-2015. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Sub-Saharan Africa","Rwanda","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2015","43.40","SOURCE: DHS 2014-2015. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Senegal","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","31.00","SOURCE: Continuous DHS 2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Sub-Saharan Africa","Senegal","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","31.00","SOURCE: Continuous DHS 2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Senegal","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","27.60","SOURCE: Continuous DHS 2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Sub-Saharan Africa","Senegal","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","27.60","SOURCE: Continuous DHS 2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Sierra Leone","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","18.80","SOURCE: MICS 2017. Refers to children aged 24-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Sub-Saharan Africa","Sierra Leone","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","18.80","SOURCE: MICS 2017. Refers to children aged 24-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Sierra Leone","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","19.00","SOURCE: MICS 2017. Refers to children aged 24-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Sub-Saharan Africa","Sierra Leone","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","19.00","SOURCE: MICS 2017. Refers to children aged 24-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Latin America and the Caribbean","El Salvador","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","61.50","SOURCE: ENS/MICS 2014"
"SDG: Latin America and the Caribbean","El Salvador","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","57.00","SOURCE: ENS/MICS 2014"
"SDG: Europe","Serbia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","95.00","SOURCE: MICS 2014"
"SDG: Europe and Northern America","Serbia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","95.00","SOURCE: MICS 2014"
"SDG: Europe, Northern America, Australia and New Zealand","Serbia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","95.00","SOURCE: MICS 2014"
"SDG: Europe","Serbia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","96.00","SOURCE: MICS 2014"
"SDG: Europe and Northern America","Serbia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","96.00","SOURCE: MICS 2014"
"SDG: Europe, Northern America, Australia and New Zealand","Serbia","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","96.00","SOURCE: MICS 2014"
"SDG: Least Developed Countries","Sao Tome and Principe","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","62.70","SOURCE: MICS 2014"
"SDG: Small Island Developing States","Sao Tome and Principe","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","62.70","SOURCE: MICS 2014"
"SDG: Sub-Saharan Africa","Sao Tome and Principe","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","62.70","SOURCE: MICS 2014"
"SDG: Least Developed Countries","Sao Tome and Principe","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","62.70","SOURCE: MICS 2014"
"SDG: Small Island Developing States","Sao Tome and Principe","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","62.70","SOURCE: MICS 2014"
"SDG: Sub-Saharan Africa","Sao Tome and Principe","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","62.70","SOURCE: MICS 2014"
"SDG: Latin America and the Caribbean","Suriname","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","62.80","SOURCE: MICS 2018"
"SDG: Small Island Developing States","Suriname","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","62.80","SOURCE: MICS 2018"
"SDG: Latin America and the Caribbean","Suriname","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","70.10","SOURCE: MICS 2018"
"SDG: Small Island Developing States","Suriname","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","70.10","SOURCE: MICS 2018"
"SDG: Landlocked Developing Countries","Eswatini","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","32.90","SOURCE: MICS 2014"
"SDG: Sub-Saharan Africa","Eswatini","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","32.90","SOURCE: MICS 2014"
"SDG: Landlocked Developing Countries","Eswatini","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","44.30","SOURCE: MICS 2014"
"SDG: Sub-Saharan Africa","Eswatini","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","44.30","SOURCE: MICS 2014"
"SDG: Landlocked Developing Countries","Chad","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2015","46.00","SOURCE: DHS 2014-2015. Based on the oldest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Chad","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2015","46.00","SOURCE: DHS 2014-2015. Based on the oldest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Sub-Saharan Africa","Chad","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2015","46.00","SOURCE: DHS 2014-2015. Based on the oldest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Landlocked Developing Countries","Chad","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2015","46.90","SOURCE: DHS 2014-2015. Based on the oldest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Chad","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2015","46.90","SOURCE: DHS 2014-2015. Based on the oldest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Sub-Saharan Africa","Chad","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2015","46.90","SOURCE: DHS 2014-2015. Based on the oldest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Togo","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","19.20","SOURCE: MICS 2017"
